b30	10	yes	The orange container continues its unbroken horizontal motion from the crane into a charcoal silhouette ship, accepted seamlessly. Camera tracks alongside at constant speed.
b31	10	yes	The orange container continues its unbroken horizontal motion from the ship onto a charcoal silhouette train, accepted seamlessly. Camera tracks alongside at constant speed.
b32	10	yes	The orange container continues its unbroken horizontal motion from the train onto a charcoal silhouette truck, accepted seamlessly. Camera tracks alongside at constant speed.
b33	10	yes	The orange container continues moving in perfect mechanical rhythm through charcoal silhouette handling systems, hypnotic and constant. Camera tracks alongside at constant speed.
b34	9	no	A dense crowd of charcoal silhouette dockworkers fills the entire frame, standing still. Entirely charcoal and off-white, no accent colour anywhere. Locked-off camera.
b35	9	yes	The charcoal silhouette dockworkers at the edges of the crowd begin fading out one by one, slowly and unhurried. No accent colour anywhere. Locked-off camera.
b36	9	yes	More charcoal silhouette dockworkers fade away from the outside inward, the crowd visibly thinning. No accent colour anywhere. Locked-off camera.
b37	9	yes	Only a scattered few charcoal silhouette figures remain on a mostly empty dock, fading one at a time. No accent colour anywhere. Locked-off camera.
b38	9	yes	An empty dock with a single automated crane moving alone, no people at all. Entirely charcoal and off-white, cold and still. Locked-off camera.
b39	9	no	A charcoal screw thread appears at centre frame and turns smoothly into a matching orange threaded socket, seating cleanly and precisely. Locked-off camera.
b40	9	no	A charcoal wooden pallet appears at centre frame and slides cleanly into a matching orange forklift opening, fitting exactly. Locked-off camera.
b41	9	no	A charcoal railway track gauge appears at centre frame and aligns cleanly onto matching orange rails, seating perfectly. Locked-off camera.
b42	9	no	A charcoal electrical plug appears at centre frame and tries to enter an orange socket, but does not fit and sits askew and unmatched. Locked-off camera.
b43	9	no	A charcoal electrical plug rests unmatched and slightly askew beside an orange socket of plainly the wrong shape, held unresolved and motionless. Locked-off camera.
b44	10	no	A single shipping container centred on a plinth, completely still, framed exactly like an opening museum shot. Absolute stillness. Locked-off camera.
b45	10	yes	The centred shipping container on its plinth holds perfectly still and unchanging, composed and symmetrical, leaving clear empty space beneath it. Locked-off camera.
